doctor,patients_treated,total_appointments,avg_billing,no_shows
David Pierce,2,0,23453.81,
David Pineda,1,0,22906.75,
David Pollard,1,0,2602.65,
David Ponce MD,2,0,8488.79,
David Poole,2,0,10603.37,
David Powell,4,0,24505.92,
David Pratt,2,0,19847.21,
David Price,4,0,28301.44,
David Pruitt,2,0,16790.37,
David Ramirez,2,0,23591.58,
David Ramos,1,0,35419.98,
David Ray,1,0,27047.81,
David Reyes,3,0,22884.88,
David Reynolds,1,0,34518.15,
David Rhodes,2,0,20057.24,
David Richard,1,0,24409.12,
David Richards,4,0,10579.56,
David Riddle,1,0,2991.55,
David Riley,2,0,38407.02,
David Ritter,1,0,3333.85,
David Rivera,3,0,13286.2,
David Roach,1,0,15346.2,
David Robbins,1,0,4778.26,
David Roberson,1,0,15381.0,
David Roberts,3,0,39232.79,
David Robinson,5,0,15804.09,
David Rodgers,3,0,37170.16,
David Rodriguez,3,0,30623.35,
David Rogers,1,0,12378.76,
David Rojas,1,0,45300.45,
David Romero,2,0,31979.5,
David Rosario,2,0,48780.26,
David Rose,3,0,30322.4,
David Ross,2,0,23090.35,
David Roth,1,0,27573.17,
David Ruiz,3,0,33417.63,
David Russell,2,0,21747.0,
David Salazar,2,0,41044.74,
David Sanchez,9,0,24423.46,
David Sanders,2,0,9096.35,
David Sandoval,1,0,36577.3,
David Saunders,2,0,4525.7,
David Schmidt,1,0,8950.4,
David Schroeder,1,0,6303.4,
David Schultz,1,0,13109.43,
David Schwartz,1,0,3058.19,
David Scott,2,0,49019.07,
David Shaw,1,0,41311.53,
David Shelton,2,0,3008.35,
David Short,1,0,27200.27,
David Silva,3,0,35750.59,
David Simmons,2,0,36103.08,
David Simpson,2,0,31126.15,
David Sims,4,0,31671.4,
David Singh,1,0,8268.91,
David Small,1,0,42329.43,
David Smith,19,0,24912.93,
David Smith MD,1,0,41847.56,
David Sosa,1,0,31619.0,
David Soto,2,0,14338.69,
David Sparks,1,0,20100.32,
David Spears,1,0,26147.2,
David Spencer,1,0,49039.71,
David Stanley,2,0,17326.7,
David Stanton,1,0,28816.44,
David Stark,2,0,13341.01,
David Steele,2,0,27384.76,
David Stevens,1,0,6252.08,
David Stevenson,2,0,37238.84,
David Strickland,1,0,35636.38,
David Strong,1,0,5803.09,
David Sullivan,2,0,48209.7,
David Sutton,1,0,44413.26,
David Swanson,1,0,15500.84,
David Sweeney,1,0,49864.39,
David Tate,2,0,30293.15,
David Taylor,5,0,30748.56,
David Terry,2,0,33672.79,
David Thomas,7,0,29568.15,
David Thompson,2,0,24563.93,
David Thornton,1,0,41844.07,
David Torres,5,0,44586.6,
David Trevino,1,0,41983.32,
David Underwood,2,0,6296.79,
David Valdez,1,0,44980.43,
David Valentine,1,0,46346.64,
David Valenzuela,1,0,13226.64,
David Vang,1,0,43972.73,
David Vasquez,1,0,41110.21,
David Vaughn,1,0,15940.7,
David Vazquez,1,0,27378.34,
David Wade,1,0,834.32,
David Wagner,4,0,23681.87,
David Walker,5,0,32334.91,
David Wall,1,0,40217.03,
David Wallace,2,0,17783.65,
David Walls,2,0,38238.36,
David Wang,4,0,41090.89,
David Ward,3,0,27204.18,
David Waters,2,0,8904.43,
David Watkins,2,0,44162.36,
David Watson,1,0,45603.94,
David Watts,2,0,10439.33,
David Webb,2,0,17823.82,
David Weber,5,0,30374.23,
David Webster,1,0,48117.35,
David Weiss,2,0,34111.82,
David Wells,1,0,11787.15,
David West,4,0,28833.62,
David Wheeler,2,0,46903.16,
David White,3,0,17195.7,
David Wilkins,1,0,46750.96,
David Wilkinson,1,0,6712.8,
David Williams,11,0,25230.82,
David Williams DVM,1,0,30043.0,
David Williamson,2,0,13537.71,
David Willis,2,0,21462.89,
David Wilson,8,0,30926.19,
David Wilson Jr.,1,0,11473.54,
David Winters,1,0,7744.47,
David Wood,2,0,31891.91,
David Wright,3,0,13146.93,
David Young,5,0,23613.28,
David Zavala,1,0,43353.4,
Dawn Alexander,1,0,46603.05,
Dawn Austin,1,0,34692.92,
Dawn Avila,1,0,17328.46,
Dawn Bailey,1,0,42191.65,
Dawn Barron,1,0,34041.38,
Dawn Benson,1,0,7012.98,
Dawn Bradshaw,1,0,27948.76,
Dawn Brown,1,0,22238.35,
Dawn Buchanan,2,0,37990.75,
Dawn Burton,2,0,17152.88,
Dawn Butler MD,1,0,49879.79,
Dawn Campos,1,0,7510.97,
Dawn Carr,1,0,4614.14,
Dawn Castillo,2,0,21998.84,
Dawn Chase,1,0,7025.04,
Dawn Conner,1,0,6481.64,
Dawn Cook,2,0,17877.91,
Dawn Cox,1,0,42475.08,
Dawn Cuevas,1,0,46904.77,
Dawn Davis,2,0,30449.06,
Dawn Dennis,1,0,24415.59,
Dawn Douglas,2,0,42817.02,
Dawn Ellis,1,0,16738.97,
Dawn Faulkner,1,0,36200.57,
Dawn Fernandez,1,0,22620.34,
Dawn Galvan,1,0,38577.54,
Dawn Garcia,2,0,34785.73,
Dawn George,1,0,25677.59,
Dawn Gilbert,1,0,13325.41,
Dawn Golden,1,0,48315.95,
Dawn Gonzalez,1,0,39475.18,
Dawn Gray,1,0,19318.48,
Dawn Griffin,1,0,436.29,
Dawn Guzman,1,0,11892.04,
Dawn Hammond,1,0,40880.24,
Dawn Harding,1,0,23025.83,
Dawn Harper,1,0,33930.34,
Dawn Harris,1,0,22179.16,
Dawn Hawkins,1,0,2478.47,
Dawn Herman,1,0,12063.95,
Dawn Hernandez,4,0,22350.6,
Dawn Hicks,1,0,4703.92,
Dawn Holden,1,0,31815.29,
Dawn Hopkins,1,0,14533.36,
Dawn Jackson,2,0,10077.57,
Dawn Jones,2,0,12251.88,
Dawn Jordan,2,0,27294.68,
Dawn Larson,1,0,4218.35,
Dawn Lawson,1,0,23889.89,
Dawn Lewis,1,0,41483.43,
Dawn Little,1,0,23696.53,
Dawn Long,1,0,30733.57,
Dawn Lopez,2,0,48919.45,
Dawn Macias,1,0,34652.46,
Dawn Martin,1,0,33093.48,
Dawn Martinez,2,0,28642.28,
Dawn Matthews,1,0,23103.06,
Dawn Mcclain,1,0,45286.28,
Dawn Mcgrath,1,0,45981.23,
Dawn Mcintosh,1,0,23812.42,
Dawn Mendoza,1,0,30801.57,
Dawn Merritt,1,0,24553.74,
Dawn Miles,1,0,43185.1,
Dawn Miller,2,0,34077.95,
Dawn Moore,2,0,37733.11,
Dawn Morgan,1,0,18561.05,
Dawn Morris,1,0,12297.78,
Dawn Morrison,1,0,48870.27,
Dawn Morse,1,0,3064.96,
Dawn Myers,4,0,19723.51,
Dawn Navarro,2,0,-199.66,
Dawn Obrien,1,0,18585.7,
Dawn Olson,1,0,911.99,
Dawn Patel,1,0,5677.15,
Dawn Patrick,1,0,45277.93,
Dawn Powell,1,0,14105.13,
Dawn Reed,1,0,20262.27,
Dawn Rich,1,0,38916.19,
Dawn Riley,2,0,49352.88,
Dawn Rivera,1,0,14073.88,
Dawn Roberts,1,0,16802.31,
Dawn Rodriguez,3,0,15558.33,
Dawn Rogers,1,0,27511.85,
Dawn Russell,1,0,13969.27,
Dawn Sanders,1,0,30049.38,
Dawn Shannon,1,0,40859.95,
Dawn Smith,1,0,47361.13,
Dawn Snow,2,0,1686.53,
Dawn Stephens,1,0,23642.91,
Dawn Strickland,1,0,39342.89,
Dawn Taylor,2,0,40615.38,
Dawn Thompson,1,0,11803.49,
Dawn Turner,1,0,18206.15,
Dawn Velasquez,1,0,47968.79,
Dawn Wallace,1,0,42564.76,
Dawn Ward,2,0,23082.24,
Dawn Warner,1,0,45402.7,
Dawn Watson,2,0,15435.27,
Dawn Wells,1,0,8577.36,
Dawn White DVM,1,0,41525.16,
Dawn Whitehead,1,0,38216.43,
Dawn Williams,4,0,33182.15,
Dawn Wright,1,0,39720.61,
Dawn Zimmerman,1,0,26544.02,
Dean Anderson,3,0,37634.85,
Dean Calderon,1,0,29421.08,
Dean Carson,1,0,26258.6,
Dean Carter,2,0,34417.28,
Dean Garcia,1,0,46091.52,
Dean Gonzalez,1,0,45056.98,
Dean Guzman,1,0,48502.25,
Dean Henry,1,0,31369.71,
Dean Jordan,1,0,49489.32,
Dean King,2,0,22751.83,
Dean Mendoza,1,0,47620.31,
Dean Morales,1,0,5362.67,
Dean Peters,1,0,28533.96,
Dean Powell,1,0,19703.45,
Dean Sanford,1,0,26190.29,
Dean Steele,2,0,41844.39,
Dean Tucker,1,0,14137.18,
Dean Wade,1,0,27748.6,
Dean Young,1,0,1500.69,
Deanna Bautista,1,0,8983.7,
Deanna Brock,1,0,38056.67,
Deanna Burns MD,1,0,3973.14,
Deanna Campbell,3,0,31034.1,
Deanna Castro,2,0,47783.87,
Deanna Chambers,1,0,6092.07,
Deanna Charles,1,0,20500.2,
Deanna Clark,1,0,17787.95,
Deanna Cook,1,0,39389.29,
Deanna Gill,1,0,6141.23,
Deanna Gonzalez,2,0,22398.77,
Deanna Graham,1,0,16439.96,
Deanna Hendrix,1,0,15745.82,
Deanna Holt,1,0,24620.77,
Deanna Hudson,1,0,43011.88,
Deanna Johnson,3,0,26926.33,
Deanna Kim,2,0,22718.3,
Deanna Le,1,0,10032.23,
Deanna Lewis,1,0,23563.14,
Deanna Mccarthy,1,0,46311.14,
Deanna Mcclain,1,0,32476.71,
Deanna Medina,1,0,29900.28,
Deanna Miller,1,0,19122.39,
Deanna Miller MD,1,0,24480.13,
Deanna Patterson,1,0,4613.64,
Deanna Price,2,0,26071.23,
Deanna Rice,1,0,36813.89,
Deanna Riggs,1,0,38753.82,
Deanna Robertson,1,0,5210.4,
Deanna Robinson,1,0,13002.94,
Deanna Rodriguez,2,0,10931.64,
Deanna Rogers,1,0,45825.7,
Deanna Shepherd,1,0,1428.31,
Deanna Smith,1,0,34021.29,
Deanna Stewart MD,1,0,14569.98,
Deanna Tanner,1,0,23035.89,
Deanna Thomas,1,0,23900.29,
Deanna Valdez,1,0,42565.47,
Deanna Velasquez,1,0,36450.44,
Deanna Wade,1,0,3086.86,
Deanna Walker,1,0,13941.4,
Deanna Ward,1,0,48201.02,
Deanna Welch,1,0,10019.82,
Deanna Young,1,0,20076.93,
Debbie Anderson,1,0,35187.66,
Debbie Arroyo,1,0,37049.94,
Debbie Barnes,1,0,41910.86,
Debbie Brown,1,0,18175.12,
Debbie Browning,1,0,26824.0,
Debbie Conrad,1,0,13201.78,
Debbie Davis,1,0,32527.56,
Debbie Decker,1,0,9467.63,
Debbie Donaldson,1,0,51848.2,
Debbie Duran,1,0,23981.85,
Debbie Ferguson DVM,1,0,37878.93,
Debbie Fernandez,2,0,46965.43,
Debbie Foster,1,0,23612.77,
Debbie Hampton,1,0,4606.61,
Debbie Hardy,1,0,10967.96,
Debbie Johnson,5,0,16607.5,
Debbie Jones,2,0,16128.25,
Debbie Kelly,1,0,16695.61,
Debbie King,1,0,23517.63,
Debbie Lane,1,0,36332.99,
Debbie Lawrence,1,0,20702.46,
Debbie Leach,1,0,13948.92,
Debbie Miller,1,0,28656.05,
Debbie Munoz,1,0,6931.88,
Debbie Norris,1,0,18970.36,
Debbie Peters,1,0,45870.56,
Debbie Pierce,2,0,42327.04,
Debbie Pittman,1,0,11303.81,
Debbie Ramos,1,0,3200.74,
Debbie Ruiz,1,0,16720.82,
Debbie Salazar,1,0,13463.43,
Debbie Sanchez,1,0,36829.88,
Debbie Ward DVM,1,0,21702.45,
Debbie Williams,1,0,4941.02,
Debbie Wilson,1,0,33866.88,
Debbie Wise,2,0,14051.0,
Debbie Woods,1,0,21114.66,
Debbie Yu,1,0,9556.57,
Deborah Abbott,1,0,14772.67,
Deborah Arnold,1,0,34586.6,
Deborah Austin,1,0,43228.91,
Deborah Bailey,1,0,16016.77,
Deborah Baker,1,0,4842.7,
Deborah Berry,2,0,10815.33,
Deborah Blackwell,1,0,2437.44,
Deborah Bridges,1,0,45960.42,
Deborah Brown,1,0,29727.52,
Deborah Cabrera,2,0,26176.56,
Deborah Cantu,1,0,44426.22,
Deborah Carlson,1,0,3932.9,
Deborah Chapman,2,0,22998.41,
Deborah Cisneros,1,0,3122.33,
Deborah Clark,1,0,32019.16,
Deborah Cole,1,0,46946.88,
Deborah Combs,2,0,44659.95,
Deborah Cook,1,0,14548.39,
Deborah Cooper,1,0,15583.01,
Deborah Copeland,1,0,10214.62,
Deborah Cox,1,0,-124.65,
Deborah Daniels,1,0,31411.11,
Deborah Dixon,1,0,48761.17,
Deborah Douglas,2,0,18506.47,
Deborah Edwards,1,0,3855.72,
Deborah Ferrell,1,0,2059.18,
Deborah Fletcher,2,0,22012.93,
Deborah Foster,1,0,36866.47,
Deborah Frazier,2,0,34042.6,
Deborah Frederick,2,0,16375.8,
Deborah Giles,1,0,16218.85,
Deborah Gonzalez,1,0,15618.93,
Deborah Graham,1,0,27993.88,
Deborah Gregory,1,0,18495.58,
Deborah Hansen,1,0,33115.92,
Deborah Harris,3,0,12997.25,
Deborah Hawkins,1,0,30665.11,
Deborah Henderson,2,0,25200.4,
Deborah Hernandez,2,0,38778.77,
Deborah Hill,2,0,19999.65,
Deborah Howard,1,0,41940.89,
Deborah Humphrey,1,0,48780.33,
Deborah Ingram,1,0,44097.65,
Deborah Jenkins,1,0,49598.04,
Deborah Jones,3,0,20465.86,
Deborah Joseph,1,0,6376.13,
Deborah Keller,1,0,18160.16,
Deborah Kennedy,1,0,1041.71,
Deborah Lawson,1,0,37903.29,
Deborah Lee,1,0,9598.11,
Deborah Lewis,1,0,47988.09,
Deborah Li,1,0,7306.74,
Deborah Long,2,0,38383.42,
Deborah Lopez,1,0,7556.37,
Deborah Lowe,1,0,11825.82,
Deborah Mann,1,0,9451.76,
Deborah Martinez,2,0,24899.17,
Deborah Mccarthy,1,0,26499.42,
Deborah Mcgee,1,0,16787.68,
Deborah Meadows,1,0,22970.56,
Deborah Molina,1,0,27991.13,
Deborah Montgomery,1,0,22590.33,
Deborah Moore,2,0,28745.43,
Deborah Murphy,1,0,23127.8,
Deborah Nielsen,1,0,19727.9,
Deborah Norman,1,0,38780.65,
Deborah Odonnell,1,0,1668.55,
Deborah Parker,1,0,28783.64,
Deborah Perez,3,0,12003.74,
Deborah Perkins,1,0,45100.72,
Deborah Petersen,1,0,2613.33,
Deborah Phillips,1,0,35670.45,
Deborah Pope,1,0,17446.42,
Deborah Reed,1,0,10344.43,
Deborah Richardson,1,0,29228.59,
Deborah Rios,1,0,34447.11,
Deborah Robbins,2,0,18690.21,
Deborah Roberts,1,0,39424.28,
Deborah Robinson DVM,1,0,19304.68,
Deborah Russell,1,0,18072.29,
Deborah Salazar,1,0,8927.98,
Deborah Sanders,1,0,26128.44,
Deborah Scott,1,0,33360.49,
Deborah Shannon,1,0,24055.39,
Deborah Silva,1,0,42002.08,
Deborah Simmons,1,0,47827.85,
Deborah Smith,2,0,11076.4,
Deborah Stewart,2,0,28060.64,
Deborah Sutton,1,0,8441.15,
Deborah Vasquez,2,0,17807.58,
Deborah Villegas,1,0,41763.64,
Deborah Wallace,1,0,27840.78,
Deborah West,1,0,40234.29,
Deborah Wilkinson,1,0,3002.17,
Deborah Williams,1,0,13065.49,
Deborah Wilson,1,0,36118.21,
Deborah Wise,1,0,35116.71,
Deborah Wright,1,0,15696.92,
Deborah Yoder,1,0,29688.36,
Debra Acevedo,1,0,38917.2,
Debra Adams,1,0,30245.51,
Debra Allison,1,0,13622.52,
Debra Bailey,1,0,40363.91,
Debra Baker,1,0,9279.72,
Debra Barrett,1,0,36645.87,
Debra Bernard,1,0,2541.73,
Debra Bowen,1,0,23401.03,
Debra Bradley,1,0,16943.84,
Debra Braun,1,0,38792.93,
Debra Bullock,1,0,36001.35,
Debra Caldwell,1,0,49087.69,
Debra Campbell,1,0,48456.32,
Debra Cannon,2,0,10696.83,
Debra Carpenter,1,0,15086.16,
Debra Collins,1,0,22770.45,
Debra Cordova,1,0,36313.89,
Debra Crane,1,0,41518.26,
Debra Donovan,1,0,23009.72,
Debra Everett,1,0,-109.1,
Debra Fisher,1,0,47452.04,
Debra Fletcher,1,0,34341.45,
Debra Garner,1,0,14198.22,
Debra Gillespie,1,0,37155.31,
Debra Gray,1,0,35624.7,
Debra Green MD,1,0,47881.94,
Debra Hall,1,0,42543.18,
Debra Hamilton,1,0,17769.66,
Debra Hanna,1,0,21029.55,
Debra Harris,1,0,26125.77,
Debra Harrison,2,0,17531.44,
Debra Harrison MD,1,0,27783.14,
Debra Haynes,1,0,31798.9,
Debra Herrera,1,0,34754.06,
Debra Holland,1,0,10711.44,
Debra Holloway,1,0,22808.77,
Debra Hopkins,1,0,26563.44,
Debra Hughes,2,0,15047.71,
Debra Jackson,4,0,5700.67,
Debra Johnson,2,0,25191.86,
Debra Kent,1,0,10371.73,
Debra Lambert,2,0,23284.18,
Debra Leblanc,1,0,44980.21,
Debra Lester,1,0,31690.89,
Debra Li,1,0,21635.13,
Debra Lopez,2,0,20536.09,
Debra Martin,2,0,33611.52,
Debra Martinez,1,0,16117.82,
Debra Matthews,1,0,34946.48,
Debra Mcclure,1,0,23558.79,
Debra Mcdaniel,1,0,48163.91,
Debra Mendoza,1,0,16327.81,
Debra Miller,1,0,28732.27,
Debra Moore,1,0,37000.42,
Debra Navarro,1,0,27031.9,
Debra Obrien,1,0,22444.03,
Debra Oconnor,1,0,30416.61,
Debra Odom,1,0,36384.04,
Debra Olsen,1,0,2038.34,
Debra Park,2,0,27047.05,
Debra Perkins,1,0,2348.44,
Debra Phillips,1,0,20269.15,
Debra Powers,1,0,29257.71,
Debra Ramirez,1,0,47077.71,
Debra Ramos,1,0,43174.91,
Debra Randolph MD,2,0,2078.47,
Debra Reed,1,0,49499.14,
Debra Roberts,1,0,23374.49,
Debra Sanchez,1,0,14528.57,
Debra Sharp,1,0,29316.98,
Debra Simmons,1,0,41235.93,
Debra Thomas,1,0,21682.54,
Debra Torres,3,0,34040.31,
Debra Walls,1,0,1875.32,
Debra Walsh,1,0,46303.07,
Debra Weaver,1,0,27038.2,
Debra Williams,2,0,13297.21,
Debra Williamson,1,0,45659.1,
Debra Wilson,3,0,11796.92,
Debra Wright,1,0,44705.52,
Debra Zuniga,1,0,28085.04,
Denise Ali,1,0,37551.17,
Denise Alvarez,1,0,23637.46,
Denise Anderson,2,0,43718.65,
Denise Arnold,1,0,27676.13,
Denise Austin,2,0,10022.04,
Denise Ballard,1,0,23273.67,
Denise Barrera,1,0,5975.29,
Denise Black,1,0,48049.58,
Denise Blair,1,0,9072.13,
Denise Bowers DDS,1,0,15077.33,
Denise Bright,1,0,7380.96,
Denise Burke,1,0,15580.59,
Denise Cain,1,0,33588.81,
Denise Cantrell,1,0,30586.53,
Denise Castillo,2,0,11216.46,
Denise Chase,1,0,40841.28,
Denise Christensen,2,0,45323.91,
Denise Clayton,2,0,43803.85,
Denise Coleman,1,0,15633.98,
Denise Collins,2,0,6602.44,
Denise Dunn,1,0,31867.37,
Denise Erickson,1,0,21697.8,
Denise Farmer,2,0,18561.35,
Denise Fernandez,2,0,29661.81,
Denise Fields,2,0,19594.94,
Denise Fisher,1,0,47860.96,
Denise Forbes,1,0,1403.73,
Denise Foster,2,0,9184.48,
Denise Francis,1,0,6333.76,
Denise Freeman,1,0,19249.21,
Denise Galloway,1,0,23762.2,
Denise Garcia,1,0,30315.78,
Denise Gardner,2,0,12624.84,
Denise George,1,0,28877.63,
Denise Gilbert,1,0,-952.83,
Denise Green,1,0,2288.23,
Denise Guzman,1,0,13971.32,
Denise Hamilton,1,0,11024.48,
Denise Harper,1,0,19611.83,
Denise Harris,1,0,17415.41,
Denise Hebert,1,0,38272.35,
Denise Hensley,1,0,9034.79,
Denise Hernandez,1,0,41515.26,
Denise Hines,1,0,13150.95,
Denise Howell,2,0,35768.3,
Denise Huff,1,0,14796.79,
Denise Jackson,1,0,45149.92,
Denise Jacobs,1,0,-600.5,
Denise Jenkins,1,0,12872.88,
Denise Johnson,2,0,45344.76,
Denise Johnston,1,0,6889.32,
Denise Jones,1,0,7930.35,
Denise Kelly,1,0,17331.35,
Denise Kim,1,0,18699.24,
Denise Lane,1,0,14724.89,
Denise Lawrence,1,0,16225.19,
Denise Lopez,1,0,49270.25,
Denise Lowe,1,0,43288.77,
Denise Luna,1,0,31586.43,
Denise Martinez,1,0,33518.13,
Denise Matthews,1,0,41862.63,
Denise Mayo,2,0,30506.94,
Denise Mcdonald,1,0,38086.23,
Denise Mcknight,1,0,39815.03,
Denise Miller,2,0,18850.54,
Denise Morgan,1,0,28972.57,
Denise Nelson,1,0,12573.74,
Denise Nguyen,1,0,8907.63,
Denise Ochoa,2,0,16415.87,
Denise Olson,1,0,34390.89,
Denise Osborne,1,0,43142.13,
Denise Pacheco,1,0,41861.12,
Denise Perry,2,0,17696.91,
Denise Phillips,1,0,3824.66,
Denise Porter,1,0,7304.15,
Denise Price,1,0,17146.69,
Denise Reed,1,0,32137.91,
Denise Reynolds,2,0,39247.43,
Denise Richardson,1,0,9994.75,
Denise Rivera,1,0,50838.48,
Denise Rivera DDS,1,0,33544.76,
Denise Robertson,1,0,47839.91,
Denise Rodriguez,2,0,33331.05,
Denise Schmitt,1,0,34172.25,
Denise Smith,3,0,29720.41,
Denise Stewart DDS,1,0,18703.85,
Denise Taylor,2,0,24781.26,
Denise Thompson,2,0,4617.21,
Denise Turner,2,0,26526.73,
Denise Vargas,3,0,27544.76,
Denise Vasquez,1,0,48681.17,
Denise Vaughn,1,0,31867.62,
Denise Vega,1,0,45818.96,
Denise Walker,1,0,39663.21,
Denise Walls,1,0,45551.79,
Denise Ward,2,0,21734.3,
Denise Warner,1,0,1082.04,
Denise Webb,1,0,42044.02,
Denise White,1,0,6818.52,
Denise Williams,1,0,35043.31,
Denise Wilson,1,0,38677.73,
Denise Wood,1,0,11819.6,
Denise Wright,1,0,21276.47,
Dennis Adams,1,0,6822.17,
Dennis Anderson,1,0,41499.27,
Dennis Atkinson,1,0,34533.39,
Dennis Bailey,1,0,23268.17,
Dennis Blair,2,0,30117.3,
Dennis Brown,1,0,46834.12,
Dennis Butler,1,0,44522.84,
Dennis Cabrera,1,0,23995.15,
Dennis Carter,1,0,7953.36,
Dennis Cohen,1,0,3903.0,
Dennis Cole,1,0,30040.21,
Dennis Cook,2,0,41511.14,
Dennis Curtis,1,0,28490.8,
Dennis Davis,1,0,5335.25,
Dennis Decker,1,0,19654.14,
Dennis Espinoza,1,0,31765.87,
Dennis Ferrell,2,0,19688.03,
Dennis Fisher,3,0,15694.74,
Dennis Fox,1,0,21592.76,
Dennis French,1,0,1248.84,
Dennis Gilbert,1,0,6827.7,
Dennis Golden,2,0,31411.56,
Dennis Gregory,1,0,20393.96,
Dennis Griffith,2,0,36288.56,
Dennis Gutierrez,1,0,31269.48,
Dennis Harmon,1,0,22545.99,
Dennis Harris,1,0,47735.38,
Dennis Harrison,1,0,17111.73,
Dennis Hayes,1,0,40086.61,
Dennis Henson,1,0,19632.02,
Dennis Herrera,1,0,5699.56,
Dennis Hill,2,0,40453.21,
Dennis Holt,1,0,31839.26,
Dennis Hopkins,1,0,40694.94,
Dennis Hughes,1,0,9298.59,
Dennis Ingram,1,0,47500.89,
Dennis James,1,0,15494.02,
Dennis Kelley,1,0,20560.96,
Dennis Le,1,0,44110.88,
Dennis Lewis,1,0,35181.02,
Dennis Long,1,0,16143.89,
Dennis Macdonald,2,0,35529.67,
Dennis Mccormick,1,0,22513.34,
Dennis Mcintyre,1,0,25909.8,
Dennis Miller,1,0,47281.11,
Dennis Mitchell,1,0,11125.41,
Dennis Morales,1,0,30210.31,
Dennis Murphy,1,0,17026.54,
Dennis Nelson,1,0,48762.81,
Dennis Palmer,1,0,48617.21,
Dennis Perez,1,0,11588.25,
Dennis Phillips,1,0,30261.78,
Dennis Randall,1,0,7458.07,
Dennis Reed,1,0,7599.05,
Dennis Richardson,1,0,39718.71,
Dennis Riggs,1,0,41883.89,
Dennis Robbins,2,0,37861.51,
Dennis Robinson,1,0,34141.02,
Dennis Sanchez,2,0,8049.95,
Dennis Sanford,1,0,31321.34,
Dennis Short,1,0,27366.03,
Dennis Small,1,0,35022.32,
Dennis Smith,3,0,28224.55,
Dennis Soto,1,0,9450.46,
Dennis Spencer,1,0,45377.7,
Dennis Summers MD,1,0,37758.6,
Dennis Thomas,1,0,30568.93,
Dennis Torres,1,0,45206.78,
Dennis Turner MD,1,0,23364.0,
Dennis Vance,1,0,24225.23,
Dennis Wagner,1,0,21878.98,
Dennis Walker,1,0,13192.15,
Dennis Wallace,1,0,5321.59,
Dennis Warren,2,0,4010.13,
Dennis Weber,1,0,2072.78,
Dennis Wheeler,1,0,31142.6,
Dennis Wilson,2,0,9774.29,
Derek Acosta,1,0,36141.75,
Derek Alexander,1,0,10208.0,
Derek Allen,2,0,20871.19,
Derek Bass,1,0,15678.08,
Derek Bennett,1,0,2374.3,
Derek Bird,1,0,2963.56,
Derek Bridges,1,0,6639.23,
Derek Brown,2,0,28391.49,
Derek Burns,1,0,38281.22,
Derek Campbell,1,0,11954.61,
Derek Cantu,1,0,8147.21,
Derek Clark,1,0,49082.47,
Derek Collier,1,0,36952.75,
Derek Collins,1,0,25910.2,
Derek Compton,1,0,41684.86,
Derek Cruz,1,0,35252.89,
Derek Dorsey,2,0,36287.39,
Derek Dunlap,1,0,22343.79,
Derek Edwards,2,0,18654.45,
Derek Fuentes,2,0,17826.61,
Derek Garcia,1,0,14880.36,
Derek Gonzalez,1,0,40809.51,
Derek Griffin,1,0,37929.67,
Derek Hart,1,0,35437.31,
Derek Henderson,1,0,47478.72,
Derek Higgins,1,0,19305.05,
Derek Hudson,1,0,31865.15,
Derek Huffman,1,0,13032.64,
Derek Johnson,2,0,19797.27,
Derek Jordan,2,0,27812.0,
Derek Kaiser,2,0,22079.89,
Derek Kent,1,0,24840.3,
Derek Kim,1,0,45703.87,
Derek Klein,2,0,2726.88,
Derek Mack,2,0,21031.78,
Derek Martin,2,0,27445.7,
Derek Martinez,1,0,18492.02,
Derek Mcneil,1,0,25652.43,
Derek Melendez,1,0,40745.91,
Derek Meza,1,0,9432.99,
Derek Michael,1,0,48811.07,
Derek Miller,1,0,11754.33,
Derek Mora,1,0,1759.66,
Derek Norman,1,0,38665.39,
Derek Ortiz,1,0,9277.63,
Derek Parks,1,0,39598.4,
Derek Peters,1,0,7284.59,
Derek Phillips,1,0,8052.83,
Derek Ramos,1,0,42652.57,
Derek Ray,1,0,8068.41,
Derek Reed,1,0,28633.66,
Derek Reese,1,0,38972.2,
Derek Reid,1,0,36550.02,
Derek Reyes,1,0,41453.87,
Derek Reyes DDS,1,0,43300.34,
Derek Richardson,2,0,8994.87,
Derek Robinson,1,0,30189.78,
Derek Rodriguez,1,0,42491.12,
Derek Rogers,1,0,24841.37,
Derek Santos,1,0,30164.96,
Derek Smith,3,0,28410.46,
Derek Solomon,1,0,14539.5,
Derek Taylor,1,0,9758.85,
Derek Trevino,2,0,15450.68,
Derek Turner,1,0,11966.16,
Derek Valencia,1,0,40169.55,
Derek Wallace,1,0,27113.1,
Derek White,2,0,16417.98,
Derek Wright,1,0,42982.81,
Derek York,1,0,21225.02,
Derek Zimmerman,1,0,12711.58,
Derrick Aguilar,1,0,28924.48,
Derrick Alexander,1,0,12733.58,
Derrick Arnold,2,0,17823.12,
Derrick Barrera,1,0,17090.71,
Derrick Bates,1,0,6675.05,
Derrick Bowman,1,0,5781.72,
Derrick Brown,2,0,18233.59,
Derrick Campbell,1,0,157.38,
Derrick Cole,1,0,39435.96,
Derrick Coleman,1,0,20537.62,
Derrick Cooper,1,0,29873.98,
Derrick Cross,1,0,6735.55,
Derrick Davis,1,0,23301.04,
Derrick Freeman,1,0,42233.96,
Derrick Frey,1,0,48736.15,
Derrick Garcia,3,0,40500.24,
Derrick Grant MD,1,0,36429.86,
Derrick Guerra,1,0,11352.47,
